ensembl_id	entrez_id	refseq_ids	symbol
ENSG00000121410	1	NM_130786	A1BG
ENSG00000268895	503538	NR_015380	A1BG-AS1
ENSG00000148584	29974	NM_014576	A1CF
ENSG00000175899	2	NM_000014	A2M
ENSG00000245105	144571	NR_026971	A2M-AS1
ENSG00000166535	144568	NM_144670	A2ML1
ENSG00000256661	100874108	NR_046715	A2ML1-AS1
ENSG00000256904	106478979		A2ML1-AS2
ENSG00000184389	127550	NM_001080438	A3GALT2
ENSG00000128274	53947	NM_017436	A4GALT
ENSG00000118017	51146	NM_016161	A4GNT
ENSG00000094914	8086	NM_001173466	AAAS
ENSG00000081760	65985	NM_023928	AACS
ENSG00000250420	729522	NR_024035	AACSP1
ENSG00000114771	13	NM_001086	AADAC
ENSG00000197953	344752	NM_207365	AADACL2
ENSG00000242908	101928142	NR_110202	AADACL2-AS1
ENSG00000188984	126767	NM_001103170	AADACL3
ENSG00000204518	343066	NM_001013630	AADACL4
ENSG00000240602	201651	NR_026915	AADACP1
ENSG00000109576	51166	NM_016228	AADAT
ENSG00000103591	79719	NM_024666	AAGAB
ENSG00000115977	22848	NM_014911	AAK1
ENSG00000087884	28971	NM_024684	AAMDC
ENSG00000127837	14	NM_001087	AAMP
ENSG00000129673	15	NM_001088	AANAT
ENSG00000131043	25980	NM_015511	AAR2
ENSG00000205002	441376	NM_001025357	AARD
ENSG00000090861	16	NM_001605	AARS1
ENSG00000249038	106480683	NG_043271	AARS1P1
ENSG00000124608	57505	NM_020745	AARS2
ENSG00000266967	80755	NM_001261434	AARSD1
ENSG00000234969	117981788	NG_070706	AARSD1P1
ENSG00000157426	132949	NM_181806	AASDH
ENSG00000269921			AASDH-DT
ENSG00000149313	60496	NM_015423	AASDHPPT
ENSG00000254433			AASDHPPT-AS1
ENSG00000008311	10157	NM_005763	AASS
ENSG00000215458	284837	NR_026961	AATBC
ENSG00000275700	26574	NM_012138	AATF
ENSG00000181409	9625	NM_004920	AATK
	17		AAVS1
ENSG00000183044	18	NM_020686	ABAT
ENSG00000165029	19	NM_005502	ABCA1
ENSG00000107331	20	NM_001606	ABCA2
ENSG00000167972	21	NM_001089	ABCA3
ENSG00000257408	342293	NG_022511	ABCA3P1
ENSG00000198691	24	NM_000350	ABCA4
ENSG00000154265	23461	NM_018672	ABCA5
ENSG00000154262	23460	NM_080284	ABCA6
ENSG00000064687	10347	NM_019112	ABCA7
ENSG00000141338	10351	NM_007168	ABCA8
ENSG00000154258	10350	NM_172386	ABCA9
ENSG00000231749	104355297	NR_126414	ABCA9-AS1
ENSG00000154263	10349	NM_080282	ABCA10
ENSG00000251595	79963	NR_002451.2	ABCA11P
ENSG00000144452	26154	NM_173076	ABCA12
ENSG00000179869	154664	NM_152701	ABCA13
ENSG00000189149	400508	NR_026675	ABCA15P
ENSG00000238098	650655	NR_003574	ABCA17P
ENSG00000085563	5243	NM_000927	ABCB1
ENSG00000005471	5244	NM_000443	ABCB4
ENSG00000004846	340273	NM_178559	ABCB5
ENSG00000115657	10058	NM_005689	ABCB6
ENSG00000131269	22	NM_004299	ABCB7
ENSG00000197150	11194	NM_007188	ABCB8
ENSG00000150967	23457	NM_019624	ABCB9
ENSG00000135776	23456	NM_012089	ABCB10
ENSG00000274099	56476	NG_005041	ABCB10P1
ENSG00000261524	728248	NG_022122	ABCB10P3
ENSG00000260053	100132289	NG_022102	ABCB10P4
ENSG00000073734	8647	NM_003742	ABCB11
ENSG00000103222	4363	NM_004996	ABCC1
ENSG00000023839	1244	NM_000392	ABCC2
ENSG00000108846	8714	NM_020038	ABCC3
ENSG00000125257	10257	NM_005845	ABCC4
ENSG00000114770	10057	NM_005688	ABCC5
ENSG00000223882	100873982	NR_046570	ABCC5-AS1
ENSG00000091262	368	NM_001079528	ABCC6
ENSG00000256340	653190	NR_003569	ABCC6P1
ENSG00000255277	730013	NR_023387	ABCC6P2
ENSG00000006071	6833	NM_000352	ABCC8
ENSG00000069431	10060	NM_005691	ABCC9
ENSG00000124574	89845	NM_033450	ABCC10
ENSG00000121270	85320	NM_032583	ABCC11
ENSG00000140798	94160	NM_033226	ABCC12
ENSG00000243064	150000	NR_003087	ABCC13
ENSG00000101986	215	NM_000033	ABCD1
	23785	NG_001246	ABCD1P1
ENSG00000215151	26983	NG_001270	ABCD1P2
ENSG00000261233	26982	NG_001269	ABCD1P3
ENSG00000225293	26957	NG_001265	ABCD1P4
ENSG00000214330	642762	NG_006974	ABCD1P5
ENSG00000173208	225	NM_005164	ABCD2
ENSG00000117528	5825	NM_002858	ABCD3
ENSG00000119688	5826	NM_005050	ABCD4
ENSG00000164163	6059	NM_002940	ABCE1
ENSG00000224785	442517	NG_022530	ABCE1P1
ENSG00000226723	647150	NG_022748	ABCE1P2
ENSG00000236792			ABCE1P3
ENSG00000204574	23	NM_001025091	ABCF1
	107986587	XR_001756540	ABCF1-DT
ENSG00000033050	10061	NM_005692	ABCF2
ENSG00000285292	114483834	NM_005692	ABCF2-H2BK1
ENSG00000242159	344653	NG_022253	ABCF2P1
ENSG00000228769	100422059	NG_026596	ABCF2P2
ENSG00000161204	55324	NM_018358	ABCF3
ENSG00000160179	9619	NM_207174	ABCG1
ENSG00000118777	9429	NM_004827	ABCG2
ENSG00000172350	64137	NM_022169	ABCG4
ENSG00000138075	64240	NM_022436	ABCG5
ENSG00000143921	64241	NM_022437	ABCG8
ENSG00000143994	84696	NM_032604	ABHD1
ENSG00000140526	11057	NM_001416412	ABHD2
ENSG00000158201	171586	NM_001308256	ABHD3
ENSG00000100439	63874	NM_001392009	ABHD4
ENSG00000011198	51099	NM_016006	ABHD5
ENSG00000163686	57406	NM_020676	ABHD6
ENSG00000127220	79575	NM_024527	ABHD8
ENSG00000144827	55347	NM_018394	ABHD10
ENSG00000106077	83451	NM_001145364	ABHD11
ENSG00000100997	26090	NM_015600	ABHD12
ENSG00000131969	145447	NM_001206673	ABHD12B
ENSG00000139826	84945	NM_032859	ABHD13
ENSG00000248487	25864	NM_015407	ABHD14A
ENSG00000114786	100526760	NM_001316331	ABHD14A-ACY1
ENSG00000114779	84836	NM_032750	ABHD14B
ENSG00000168792	116236	NM_198147	ABHD15
ENSG00000264031	104355133		ABHD15-AS1
ENSG00000204427	7920	NM_001177515	ABHD16A
	105375018		ABHD16A-AS1
ENSG00000183260	140701	NM_080622	ABHD16B
ENSG00000268858	112268269	NR_165198	ABHD16B-AS1
ENSG00000129968	81926	NM_031213	ABHD17A
ENSG00000198658	728917	NG_011738	ABHD17AP1
ENSG00000250536	648359	XR_041784	ABHD17AP3
ENSG00000229107	729495	NG_023156	ABHD17AP4
ENSG00000263366	91219	NG_000002	ABHD17AP5
ENSG00000226981	644988	NG_022988	ABHD17AP6
ENSG00000260864	100133212	NG_022980	ABHD17AP7
ENSG00000260540	647144	NG_023021	ABHD17AP8
ENSG00000261536	100132251	NG_028293	ABHD17AP9
ENSG00000107362	51104	NM_016014	ABHD17B
ENSG00000136379	58489	NM_021214	ABHD17C
ENSG00000164074	80167	NM_001039717	ABHD18
ENSG00000136754	10006	NM_005470	ABI1
ENSG00000271484	326268	NG_002531	ABI1P1
ENSG00000138443	10152	NM_005759	ABI2
ENSG00000108798	51225	NM_016428	ABI3
ENSG00000154175	25890	NM_001349329	ABI3BP
ENSG00000119328	54942	NM_017832	ABITRAM
ENSG00000251106	390403	NG_011392	ABITRAMP1
ENSG00000097007	25	NM_007313	ABL1
ENSG00000143322	27	NM_005158	ABL2
ENSG00000099204	3983	NM_001003407	ABLIM1
ENSG00000163995	84448	NM_001130083	ABLIM2
ENSG00000290015			ABLIM2-DT
ENSG00000173210	22885	NM_014945	ABLIM3
ENSG00000175164	28	NM_020469	ABO
ENSG00000159842	29	NM_001092	ABR
ENSG00000235361	105371479	NR_187271	ABR-AS1
ENSG00000174429	137735	NM_139166	ABRA
ENSG00000146386	58527	NM_021243	ABRACL
ENSG00000163322	84142	NM_139076	ABRAXAS1
ENSG00000213431	100421580	NG_025605	ABRAXAS1P1
ENSG00000253384	100133073	NG_022380	ABRAXAS1P2
ENSG00000165660	23172	NM_032182	ABRAXAS2
ENSG00000146109	29777	NM_013375	ABT1
ENSG00000250496	100420695	NG_025142	ABT1P1
ENSG00000114626	80325	NM_172027	ABTB1
ENSG00000166016	25841	NM_145804	ABTB2
ENSG00000151136	121551	NM_152322	ABTB3
ENSG00000060971	30	NM_001607	ACAA1
ENSG00000167315	10449	NM_006111	ACAA2
ENSG00000233585	100420869	NG_026698	ACAA2P1
ENSG00000278540	31	NM_198836	ACACA
ENSG00000076555	32	NM_001093	ACACB
ENSG00000151498	27034	NM_014384	ACAD8
ENSG00000177646	28976	NM_014049	ACAD9
ENSG00000287110	123706524	NR_186174	ACAD9-DT
ENSG00000111271	80724	NM_025247	ACAD10
ENSG00000240303	84129	NM_032169	ACAD11
ENSG00000115361	33	NM_001608	ACADL
ENSG00000117054	34	NM_000016	ACADM
ENSG00000122971	35	NM_000017	ACADS
ENSG00000196177	36	NM_001609	ACADSB
ENSG00000072778	37	NM_000018	ACADVL
ENSG00000157766	176	NM_001135	ACAN
ENSG00000072818	9744	NM_014716	ACAP1
ENSG00000114331	23527	NM_012287	ACAP2
ENSG00000229325	100874306		ACAP2-IT1
ENSG00000131584	116983	NM_030649	ACAP3
ENSG00000075239	38	NM_000019	ACAT1
ENSG00000120437	39	NM_005891	ACAT2
ENSG00000182827	64746	NM_022735	ACBD3
ENSG00000234478	107985353	NR_146443	ACBD3-AS1
ENSG00000181513	79777	NM_024722	ACBD4
ENSG00000107897	91452	NM_145698	ACBD5
ENSG00000230124	84320	NM_032360	ACBD6
ENSG00000176244	414149	NM_001039844	ACBD7
ENSG00000225531	100128086	NG_021675	ACBD7P1
ENSG00000110455	84680	NM_032592	ACCS
ENSG00000205126	390110	NM_001031854	ACCSL
ENSG00000230570	100422646	NG_025783	ACCSLP1
ENSG00000102977	65057	NM_022914	ACD
ENSG00000159640	1636	NM_000789	ACE
ENSG00000130234	59272	NM_001371415	ACE2
ENSG00000225833	104798195	NR_126564	ACE2-DT
ENSG00000224353	100129123	NG_016186	ACE3P
ENSG00000167769	125981	NM_133492	ACER1
ENSG00000177076	340485	NM_001010887	ACER2
ENSG00000180105	645978	NG_030142	ACER2P1
ENSG00000078124	55331	NM_018367	ACER3
ENSG00000254988	124902721	XR_007062790	ACER3-AS1
ENSG00000087085	43	NM_015831	ACHE
ENSG00000100813	22985	NM_014977	ACIN1
ENSG00000213088	2532	NM_002036	ACKR1
ENSG00000144648	1238	NM_001296	ACKR2
ENSG00000144476	57007	NM_020311	ACKR3
ENSG00000129048	51554	NM_016557	ACKR4
ENSG00000225415	285737	XM_208346	ACKR4P1
ENSG00000166856	11318	NM_007264	ACKR5
ENSG00000131473	47	NM_001096	ACLY
ENSG00000153086	130013	NM_001307983	ACMSD
ENSG00000227411	347275	NG_023464	ACNATP
ENSG00000122729	48	NM_002197	ACO1
ENSG00000100412	50	NM_001098	ACO2
ENSG00000235485	441996	NG_022871	ACO2P1
ENSG00000235371	343508	NG_029282	ACO2P2
ENSG00000102794	730249	NM_001258406	ACOD1
ENSG00000184227	641371	NM_001037161	ACOT1
ENSG00000119673	10965	NM_006821	ACOT2
ENSG00000177465	122970	NM_152331	ACOT4
ENSG00000267142	644189	NR_033748	ACOT4P1
ENSG00000205669	641372	NM_001037162	ACOT6
ENSG00000097021	11332	NM_007274	ACOT7
ENSG00000101473	10005	NM_183386	ACOT8
ENSG00000123130	23597	NM_012332	ACOT9
ENSG00000162390	26027	NM_015547	ACOT11
ENSG00000172497	134526	NM_130767	ACOT12
ENSG00000300735			ACOT12-DT
ENSG00000112304	55856	NM_018473	ACOT13
ENSG00000161533	51	NM_001185039	ACOX1
ENSG00000168306	8309	NM_003500	ACOX2
ENSG00000087008	8310	NM_001101667	ACOX3
ENSG00000153093	55289	NM_018308	ACOXL
ENSG00000204581	400997	NR_122074	ACOXL-AS1
ENSG00000143727	52	NM_004300	ACP1
ENSG00000134575	53	NM_001610	ACP2
ENSG00000014257	55	NM_001099	ACP3
ENSG00000142513	93650	NM_033068	ACP4
ENSG00000102575	54	NM_001111034	ACP5
ENSG00000162836	51205	NM_016361	ACP6
ENSG00000183760	390928	NM_001004318	ACP7
ENSG00000100312	49	NM_001097	ACR
