ensembl_id	entrez_id	refseq_ids	symbol
ENSMUSG00000027596	50518		a
ENSMUSG00000030359	11287		Pzp2
ENSMUSG00000026842	11350		Abl1
ENSMUSG00000026596	11352		Abl2
ENSMUSG00000066583	11354		Scgb1b27
ENSMUSG00000066584	233099		Scgb2b27
ENSMUSG00000066586	110187		Scgb2b26
ENSMUSG00000026003	11363		Acadl
ENSMUSG00000062908	11364		Acadm
ENSMUSG00000029545	11409		Acads
ENSMUSG00000032047	110446		Acat1
ENSMUSG00000023832	110460		Acat2
ENSMUSG00000038000	497652		Acd
ENSMUSG00000020681	11421		Ace
ENSMUSG00000023328	11423		Ache
ENSMUSG00000074336	11425		Apoc4
ENSMUSG00000028405	11428		Aco1
ENSMUSG00000022477	11429		Aco2
ENSMUSG00000044573	11431		Acp1
ENSMUSG00000002103	11432		Acp2
ENSMUSG00000001348	11433		Acp5
ENSMUSG00000022622	11434		Acr
ENSMUSG00000027107	11435		Chrna1
ENSMUSG00000022041	110902		Chrna2
ENSMUSG00000032303	110834		Chrna3
ENSMUSG00000027577	11438		Chrna4
ENSMUSG00000035594	110835		Chrna5
ENSMUSG00000041189	11443		Chrnb1
ENSMUSG00000027950	11444		Chrnb2
ENSMUSG00000035200	108015		Chrnb4
ENSMUSG00000026251	11447		Chrnd
ENSMUSG00000014609	11448		Chrne
ENSMUSG00000026253	11449		Chrng
ENSMUSG00000031972	11459		Acta1
ENSMUSG00000029580	11461		Actb
ENSMUSG00000068614	11464		Actc1
ENSMUSG00000062825	11465		Actg1
ENSMUSG00000035783	11475		Acta2
ENSMUSG00000026836	11477		Acvr1
ENSMUSG00000061393	11481		Acvr2b
ENSMUSG00000023262	109652		Acy1
ENSMUSG00000020774	11484		Aspa
ENSMUSG00000017697	11486		Ada
ENSMUSG00000022994	11512		Adcy6
ENSMUSG00000029106	11518		Add1
ENSMUSG00000030000	11519		Add2
ENSMUSG00000028494	11520		Plin2
ENSMUSG00000074207	11522		Adh1
ENSMUSG00000055301	11529		Adh7
ENSMUSG00000028138	11532		Adh5
ENSMUSG00000039197	11534		Adk
ENSMUSG00000061780	11537		Cfd
ENSMUSG00000033717	11551		Adra2a
ENSMUSG00000058620	11552		Adra2b
ENSMUSG00000045318	11553		Adra2c
ENSMUSG00000035283	11554		Adrb1
ENSMUSG00000045730	11555		Adrb2
ENSMUSG00000031489	11556		Adrb3
